raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
HBIRA CONFECTION,Mahdia,Hbira,Industries textiles et habillement,WASSIM SAYEH,(216-)  58 402 055/ 73 609 476,hbira.confection@topnet.tn,140,TOTALEMENT EXPORTATRICE
STE ZRIG DE REVETEMENTS ET INVENTIONS GENERAUX,Kairouan,Kairouan nord,Métallurgie et travail des métaux,MONCEF ZRIG,(216-)  77 232 069,,13,NON TOTALEMENT EXPORTATRICE
STE RICOTEX TUNISIE,Kairouan,Echbika,Industries textiles et habillement,SAMI MLAT,(216-)  21 409 709/ 97 664 580,,20,NON TOTALEMENT EXPORTATRICE
STE KTTEX,Monastir,Bembla,Industries textiles et habillement,RACHIDA TRIMECH,(216-)  98 785 161/ 73 568 344,direction@kttex.com.tn,117,TOTALEMENT EXPORTATRICE
STE MAM PACK SA,Zaghouan,Bir m'cherga,Industrie du caoutchouc et des plastiques,MOHAMED ALI MEDDEB,,,30,NON TOTALEMENT EXPORTATRICE
KOBRA SHOES,Nabeul,Grombalia,Industries du cuir et de la chaussure,WALID CHAABANE,(216-)  72 256 244,w.chaabane@planet.tn,30,TOTALEMENT EXPORTATRICE
STE FRERES BOUGARES,Medenine,Medenine nord,Industries textiles et habillement,HEDI BOUGARES,(216-)  97 598 786,bureau.hedi@gmail.com,16,NON TOTALEMENT EXPORTATRICE
VALORISATION INDUSTRIELLE DES PRODUITS ALIMENTAIRES,Mahdia,Mahdia,Industries agricoles et alimentaires,MOHAMED HOUSSEM EDDINE MNASSER,(216-)  71 718 220/ 73 655 700,daf.vipa@gmail.com,23,NON TOTALEMENT EXPORTATRICE
LA GLE DE NUTRITION ANIMALE,Nabeul,Beni khiar,Industries agricoles et alimentaires,MOHAMED EL HAFFAR,(216-)  22 786 835/ 72 238 320,contact@gna.tn,11,NON TOTALEMENT EXPORTATRICE
STE DES PRODUITS DE CARRIERE FAIEDH,Sidi Bouzid,Sidi bouzid est,Autres industries extractives,MOHAMED GUIDARA,(216-)  74 401 020/ 74 210 600,guidra_med@yahoo.fr,40,NON TOTALEMENT EXPORTATRICE
SERIPRO PLUS,Monastir,Teboulba,Industries textiles et habillement,NIZAR CHLIOUI,(216-)  73 434 341,rached.maaref@topnet.tn,45,TOTALEMENT EXPORTATRICE
STE NEJMA CONFECTION,Monastir,Teboulba,Industries textiles et habillement,CHAKER NOUIRA,(216-)  73 470 439,nejmaconfection@yahoo.com,35,TOTALEMENT EXPORTATRICE
STE BELLE ROSE,Sfax,Sfax sud,Industrie chimique,SAMI SAHNOUN,(216-)  74 458 424,,18,NON TOTALEMENT EXPORTATRICE
STE MWS,Sousse,Sousse jawhara,Industries agricoles et alimentaires,MOHAMED ALI SOUISSI,(216-)  28 391 551,wissem.souissi@gmail.com,12,NON TOTALEMENT EXPORTATRICE
STE VETEMENT DU TRAVAIL MODERNE ET TRADITIONNEL,Sousse,Sidi bou ali,Industries textiles et habillement,BORRIES NORD,(216-)  96 503 025,lamia@eiko.de,16,TOTALEMENT EXPORTATRICE
PITO GROUP,Sousse,Akouda,Industries textiles et habillement,KOSENKO SVILTANA,(216-)  73 810 575,pierre_tournier_ua@yahoo.fr,60,TOTALEMENT EXPORTATRICE
STE GIERRE,Monastir,Beni hassen,Industries textiles et habillement,GIBERTI LORIS,(216-)  73 490 000/ 73 490 001,gierre@gierre.tn,135,TOTALEMENT EXPORTATRICE
MARBRERIE DESIGN ET OBJETS,Ben arous,Ben arous,Autres industries extractives,MUSTAPHA EL FOURATI,(216-)  71 383 220/ 71 384 341,,36,NON TOTALEMENT EXPORTATRICE
STE SIDITEX,Sousse,Sidi Abdelhamid,Industries textiles et habillement,RAMLA SABBAGH,(216-)  73 321 722,admon.tusel@gmail.com,50,TOTALEMENT EXPORTATRICE
STE GOLDEN CONFORT TUNISIE,Sousse,Msaken,Fabrication d'equipements électriques et électroniques,ABDESSLEM ZROUGA,(216-)  73 292 368,contact@ceylan.tn,35,NON TOTALEMENT EXPORTATRICE
STE PULVAGRI,Ben arous,Megrine,Fabrication de machines et équipements,MOURAD DOGHRI,(216-)  71 434 799,mustapha.boughzou@pulvagri.com.tn,25,NON TOTALEMENT EXPORTATRICE
STE AC2M,Sousse,Msaken,Métallurgie et travail des métaux,KARIM BOUJNEH,(216-)  73 268 868,ac2m_chaudronnerie@yahoo.fr,18,TOTALEMENT EXPORTATRICE
FADHL BEN HAJ SLIMANE,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,FADHL BEN HAJ SLIMANE,(216-)  55 557 448,,12,NON TOTALEMENT EXPORTATRICE
STE MONATECH,Monastir,Monastir,Industrie du caoutchouc et des plastiques,NICOLAS CHAUME,(216-)  73 531 360,direction@monoplast.com,100,TOTALEMENT EXPORTATRICE
STE DE TRANSFORMATION DE PAPIER ET D'IMPRESSION,Sousse,Sidi el hani,"Industrie du papier et du carton, édition et imprimerie",AHMAMI BOUJOMAA,(216-)  73 280 250,somapap@live.fr,15,NON TOTALEMENT EXPORTATRICE
STE ARABE D'INDUSTRIES PLASTIQUES DE TUNISIE,Sousse,Sidi Abdelhamid,Industrie du caoutchouc et des plastiques,WALID CHARCHARI,(216-)  73 282 001,,60,TOTALEMENT EXPORTATRICE
DAGDAGUI NUTRITION ANIMALE,Mahdia,Essouassi,Industries agricoles et alimentaires,FARAH DAGDAGUI,(216-)  28 699 102/ 25 310 215,nutriman.dna@gmail.com,12,NON TOTALEMENT EXPORTATRICE
INDUSTRIE MODERNE EN ALLIAGE,Sfax,Sfax sud,Métallurgie et travail des métaux,IMED CHIHA,(216-)  74 672 310,chiha.ima@planet.tn,12,NON TOTALEMENT EXPORTATRICE
STE BIOSPHERE BIOLOGICAL TECHNICS,Sfax,Sakiet ezzit,Industrie chimique,FAIEZ RIGANE,(216-)  74 648 577,,63,NON TOTALEMENT EXPORTATRICE
STE ALUMINIUM ACIER ET ALUCOBOND,Ben arous,Fouchana,Métallurgie et travail des métaux,HAYKEL KLAI,,,12,NON TOTALEMENT EXPORTATRICE
STE INDUSTRIA TESSILE TUNISIA SARL,Monastir,Ksar hellal,Industries textiles et habillement,MAKRAM HEDHIRI,(216-)  50 357 954,makrem.itt@gmail.com,25,TOTALEMENT EXPORTATRICE
FEELING PAINT,Monastir,Bembla,Industrie chimique,ATEF KHOUJA,(216-)  73 575 056/ 58 400 741,info@pitturanostra.com,11,NON TOTALEMENT EXPORTATRICE
STE TAIBA,Nabeul,Hammamet,Industries agricoles et alimentaires,GHADA LAAJILI,(216-)  29 022 200/,elgomri.kais@yahoo.fr,12,NON TOTALEMENT EXPORTATRICE
STE ABBES D'ENTREPOSAGE FRIGORIFIQUE,Nabeul,Beni khalled,Industries agricoles et alimentaires,HABIBA ESSID,(216-)  98 523 242,essidhabiba@yahoo.com,10,NON TOTALEMENT EXPORTATRICE
STE NEW BAG,Nabeul,Beni khiar,Industries textiles et habillement,SAMEH BOUZID,(216-)  22 859 894/ 22 713 042,bouzi.sameh1@gmail.com,25,TOTALEMENT EXPORTATRICE
STE ISRAA CHAUSSURES,Nabeul,Beni khiar,Industries du cuir et de la chaussure,OTHMAN HAMDI,(216-)  97 548 776,israachaussure@gmail.com,10,TOTALEMENT EXPORTATRICE
METAL FASHION,Siliana,Bou arada,Autres industries manufacturières,PAOLO FASSINA,(216-)  25 772 153/ 78 806 090,,44,TOTALEMENT EXPORTATRICE
EQUERRE MODE,Siliana,Siliana sud,Industries textiles et habillement,INES TLILI,(216-)  98 479 059,ines.equerremode@gmail.com,80,TOTALEMENT EXPORTATRICE
SYRINE TRANSFORMATION D'ACIER,Siliana,Bou rouis,Métallurgie et travail des métaux,RANDA MAHOUACHI,(216-)  26 480 707/ 78 898 550,contact.syta@yahoo.com,10,NON TOTALEMENT EXPORTATRICE
STE SOTUPEL,Zaghouan,Ennadhour,Industries agricoles et alimentaires,AREF JILANI,(216-)  98 336 238/ 72 670 022,jilani.agro@yahoo.com,11,NON TOTALEMENT EXPORTATRICE
SANA JARBOUI,Sfax,El amra,Industries agricoles et alimentaires,SANA JARBOUI,(216-)  21 881 883,,10,NON TOTALEMENT EXPORTATRICE
AF & SONS NORTH AFRICA,Ben arous,Fouchana,Industries agricoles et alimentaires,ABDESSALEM ALI FERJANI,(216-)  36 201 393/ 71 409 730,info@afandsons.tn,80,NON TOTALEMENT EXPORTATRICE
STE MODERNA,Nabeul,Beni khiar,Autres industries manufacturières,IMED BEN ALI,(216-)  22 137 770/ 29 687 400,somtech@moderna.tn,25,NON TOTALEMENT EXPORTATRICE
STE NEW FASHION,Nabeul,Beni khalled,Industries textiles et habillement,MOURAD M'WELHI,(216-)  72 372 084,newfashion@outlook.fr,18,TOTALEMENT EXPORTATRICE
SABRA BETON,Kairouan,Kairouan nord,Fabrication d'autres produits non métalliques,SAMI M'GHAIETH,(216-)  94 154 573,,13,NON TOTALEMENT EXPORTATRICE
STE AGROMED,Zaghouan,Ennadhour,Industries agricoles et alimentaires,ANIS BEN FRADJ,(216-)  72 680 065,Info@agro-med.com,18,TOTALEMENT EXPORTATRICE
C G M WIRE HARNESS,Zaghouan,Bir m'cherga,Fabrication d'equipements électriques et électroniques,MICHELA GALLINA,(216-)  71 941 882/ 22 202 876,,500,TOTALEMENT EXPORTATRICE
STE MED CAVI,Zaghouan,El fahs,Fabrication d'equipements électriques et électroniques,SAMI MAHFOUDH,(216-)  98 639 073/ 72 662 062,infosamimahfoudh@gmail.com,25,NON TOTALEMENT EXPORTATRICE
STE INP INDUSTRY,Kairouan,Kairouan sud,Industries textiles et habillement,HAMDI CHARRADI,(216-)  97 858 347/ 77 227 635,inp-industry@outlook.fr,40,NON TOTALEMENT EXPORTATRICE
ORTHOTEX,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,NABIL BEN FRADJ,(216-)  98 978 140,contact@orthotex.com.tn,19,TOTALEMENT EXPORTATRICE
STE DE TRAITEMENT DES MINERAUX,Le kef,Le sers,Industrie chimique,TAOUFIK MANSOURI,(216-)  71 830 821/,sotramime2009@gnet.tn,72,NON TOTALEMENT EXPORTATRICE
FRIGO ANIS,Tozeur,Dagach,Industries agricoles et alimentaires,ANIS KHALDI,(216-)  54 175 000,,10,TOTALEMENT EXPORTATRICE
STE MARCUS,Ariana,Raoued,Industries du cuir et de la chaussure,MOHAMED WASSIM JAFFEL,(216-)  71 768 447,wassim22.jaffal@gmail.com,10,NON TOTALEMENT EXPORTATRICE
TUNISIAN ICE CREAM FACTORY,Ariana,Ariana ville,Industries agricoles et alimentaires,FARES HAYEN ATTAYA,(216-)  23 533 544/ 70 815 068,,10,NON TOTALEMENT EXPORTATRICE
STE NUTRIMIX,Zaghouan,Bir m'cherga,Industries agricoles et alimentaires,FAOUZI CHAIEB,(216-)  70 020 520/,,73,NON TOTALEMENT EXPORTATRICE
REUSE BAG,Zaghouan,El fahs,Industries textiles et habillement,ANIS GHARBI,(216-)  55 395 100,,60,NON TOTALEMENT EXPORTATRICE
STE CARTHAGE TRAILERS,Zaghouan,Bir m'cherga,Métallurgie et travail des métaux,ABDELAZIZ BEL HIBA,(216-)  71 295 039/ 71 295 419,,26,NON TOTALEMENT EXPORTATRICE
STE FERRIMIX,Monastir,Zeramdine,Industrie chimique,CIRILLO MASSIMILIANO DOMINICO,(216-)  99 160 554/ 98 385 530,direction.commerciale@ferrimix.tn,20,NON TOTALEMENT EXPORTATRICE
STE MUST MEUBLE ET DECORATION,Ariana,La Soukra,Autres industries manufacturières,ABDELFATTEF TRABELSI,(216-)  71 865 648/ 90 188 214,must.meubles@gmail.com,12,NON TOTALEMENT EXPORTATRICE
STE PRISM,Sousse,Sidi el hani,Industrie chimique,MANI CHAMA,(216-)  55 525 600/ 29 794 666,montassar.ammar@prismgroup.fr,30,NON TOTALEMENT EXPORTATRICE
STE LE TABLEAUTIER,Tunis,La marsa,Fabrication d'equipements électriques et électroniques,IMEN CHEKAYA IMEN,(216-)  98 627 499,,10,NON TOTALEMENT EXPORTATRICE
RAINBOW EQUIPEMENT MECANIQUE ET INDUSTRIEL,Tunis,Sidi hassine,Métallurgie et travail des métaux,MONTASSAR ABOURIAH,(216-)  98 422 540/ 71 934 850,info@raibow-eq.com,15,NON TOTALEMENT EXPORTATRICE
THERA,Tunis,El hararia,Industrie chimique,ADEL BOUAZIZ,(216-)  36 000 682,,75,NON TOTALEMENT EXPORTATRICE
STE AHMED CONFECTION,Mahdia,Mahdia,Industries textiles et habillement,FATMA TURKI,(216-)  29 090 662/ 24 310 070,salem.dhraief@jawhartex.tn,60,TOTALEMENT EXPORTATRICE
PLANET TEXTILE,Mahdia,Mahdia,Industries textiles et habillement,MAHER KACHOUR,(216-)  52 627 622/ 73 604 073,maherkachour1986@gmail.com,86,TOTALEMENT EXPORTATRICE
ENTREPOTS FRIGORIFIQUES DE TUNIS,Tunis,El hararia,Industries agricoles et alimentaires,MAROUENE BOUBAKER,(216-)  71 827 882,,44,NON TOTALEMENT EXPORTATRICE
CRK EXPORT,Tunis,El omrane superieur,Industries du cuir et de la chaussure,RAJA KHROUF,(216-)  71 922 043,contact@crk.com.tn,32,TOTALEMENT EXPORTATRICE
FARES CONFECTION,Bizerte,Ras el jebel,Industries textiles et habillement,MOURAD KEFI,(216-)  98 956 851/ 72 407 070,faresconfection.nt@gmail.com,100,TOTALEMENT EXPORTATRICE
STE LA VAGUE BLEU,Monastir,Teboulba,Industries agricoles et alimentaires,MOHAMED NAKBI,(216-)  36 408 880/ 36 409 007,vaguebleu@groupenakbi.com,312,NON TOTALEMENT EXPORTATRICE
ITMS,Sousse,Kalaa kebira,Industries textiles et habillement,CONTINO GUISEPPE ANTONIO,(216-)  22 673 457,bourgini-hamza@gmail.com,10,TOTALEMENT EXPORTATRICE
FASHION PRINT,Sousse,Msaken,Industries textiles et habillement,ROCHDI M'BAREK,(216-)  98 291 816,fashionprint.serig@gmail.com,17,TOTALEMENT EXPORTATRICE
STE MMSB CONFECTION,Sousse,Sidi bou ali,Industries textiles et habillement,YOSRA HELHOUI,(216-)  36 193 865,mmsb@abhtextile.com,30,TOTALEMENT EXPORTATRICE
STE MACUISINE,Sousse,Ksiba Zaouia Thrayet,Autres industries manufacturières,JAMIL GAALOUL,(216-)  73 390 100/ 27 535 003,sgm@topnet.tn,29,NON TOTALEMENT EXPORTATRICE
STE MEDITERRANEAN OUTDOOR RECREATIONAL EQUIPEMENT,Jendouba,Tabarka,Autres industries manufacturières,SWARTZ RICHARD ZACHARY,(216-)  52 927 613/ 31 401 278,,12,TOTALEMENT EXPORTATRICE
STE TARKHANI CONFECTION,Jendouba,Bousalem,Industries textiles et habillement,LAMJED TARKHANI,(216-)  21 558 782,,10,TOTALEMENT EXPORTATRICE
GAMMA BETON,Jendouba,Jendouba nord,Fabrication d'autres produits non métalliques,KAMEL AOUADI,(216-)  78 613 497/ 20 170 661,kamel.ingcom@yahoo.fr,22,NON TOTALEMENT EXPORTATRICE
BOULANGERIE CITE UNIVERSITAIRE,Jendouba,Jendouba nord,Industries agricoles et alimentaires,HAMDI MOURAD,(216-)  98 214 083,,16,NON TOTALEMENT EXPORTATRICE
ENTREPOT DEDDA,Tozeur,Nefta,Industries agricoles et alimentaires,FATMA DEDDA,(216-)  98 283 107,,16,NON TOTALEMENT EXPORTATRICE
ALYANABI,Tozeur,Nefta,Industries agricoles et alimentaires,ABDERRAOUF YOUNES,(216-)  98 269 645,,20,TOTALEMENT EXPORTATRICE
LES SELLERIES PROFESSIONNELLES,Sousse,Sidi Abdelhamid,Industries textiles et habillement,MONIA LADHARI,(216-)  73 322 405,finance@lesselleriesprofessionnelles.com,56,TOTALEMENT EXPORTATRICE
STE TECHNOPLAST DE RECYCLAGE ET INDUSTRIE DU PLASTIQUE,Sousse,Sidi Abdelhamid,Autres industries manufacturières,MOHAMED TANTOUSH,(216-)  22 936 618,contact@technoplast.trip.com,10,TOTALEMENT EXPORTATRICE
FOBBEX INDUSTRIES,Tunis,Kabaria,Fabrication de machines et équipements,FAOUZI BOUZID,(216-)  71 396 019,fobbexindustrie@gmail.com,11,NON TOTALEMENT EXPORTATRICE
STE CHADO CONFECTION,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,ALI LANACER,(216-)  73 555 400,chado.confection@gmail.com,35,TOTALEMENT EXPORTATRICE
STE EL JAOUDA DE PRODUITS NUTRITION ANIMALE,Nabeul,Menzel temime,Industries agricoles et alimentaires,MAKREM ZHIOUA,(216-)  98 248 210/ 72 346 003,eljaouda728080@gmail.com,12,NON TOTALEMENT EXPORTATRICE
SBS EXPORT,Bizerte,Sejnane,Industries textiles et habillement,NACEUR SALLAOUI,(216-)  98 822 359/ 97 612 978,i_sallaoui@yahoo.fr,10,TOTALEMENT EXPORTATRICE
FROMAGERIE BOUGUERRA,Beja,Beja nord,Industries agricoles et alimentaires,MOULDI BOUGUERRA,(216-)  96 337 879/ 24 546 832,,16,NON TOTALEMENT EXPORTATRICE
STE MEDITERANEENE DE L'AGRO ALIMENTAIRE,Beja,Mjaz el bab,Industries agricoles et alimentaires,SAMI ELBRIGUI,(216-)  55 494 723,brigui.sami@gmail.com,160,TOTALEMENT EXPORTATRICE
STE FRAICHI,Beja,Beja nord,Industries agricoles et alimentaires,MAROUEN BEJAOUI,(216-)  22 435 286,,11,NON TOTALEMENT EXPORTATRICE
STE DES PRODUITS D'ENTRETIEN DE SUD PLUS,Gabes,Gabes ville,Industrie chimique,AMEL BEN ALI,(216-)  93 392 512/ 75 222 642,spesudplus@gmail.com,17,NON TOTALEMENT EXPORTATRICE
STE  D'INTEGRATION DE SYSTEMES INTELLIGENTS,Ariana,La Soukra,Fabrication d'equipements électriques et électroniques,MUSTAPHA ARFAOUI,(216-)  71 868 029/ 29 398 111,direction@sisi.tn,13,TOTALEMENT EXPORTATRICE
KOBRA SHOES,Nabeul,Grombalia,Industries du cuir et de la chaussure,WALID CHAABANE,(216-)  72 256 244,w.chaabane@planet.tn,86,TOTALEMENT EXPORTATRICE
ESPRIT CREATIF,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,MOHAMED AMINE GAABICHE,(216-)  73 434 972/ 73 434 959,,15,NON TOTALEMENT EXPORTATRICE
AL CHIMY,Mahdia,Essouassi,Autres industries manufacturières,SAMI MTAR,(216-)  73 653 073,contact@vada-co.com,64,NON TOTALEMENT EXPORTATRICE
AZUR CONCEPT,Nabeul,Menzel temime,Industries du cuir et de la chaussure,JEAN CARLES MELKI,(216-)  72 349 988/ 71 237 010,dina@azur-concept.tn,30,TOTALEMENT EXPORTATRICE
SOTREFIL SA,Beja,Beja nord,Métallurgie et travail des métaux,MEHDI BAHRI,(216-)  93 188 177/ 78 449 012,,34,NON TOTALEMENT EXPORTATRICE
STE LE GENERAL,Sidi Bouzid,Sidi bouzid ouest,Travail du bois et fabrication d'articles en bois,NOUREDDINE ABDOULI,(216-)  98 417 252/ 76 624 999,,17,NON TOTALEMENT EXPORTATRICE
STE AMBRA,Kairouan,Kairouan sud,Industries textiles et habillement,GIORGIO CABIATI,(216-)  98 239 603/ 77 285 994,salemamara@gnet.tn,21,TOTALEMENT EXPORTATRICE
SIALA SOLAR SYSTEMS,Ariana,Raoued,Industries textiles et habillement,MOHAMES ALI SIALA,(216-)  71 716 511/ 20 101 606,contact@sialasolarsystems.com,15,NON TOTALEMENT EXPORTATRICE
STE HUILERIE SGHIR,Beja,Mjaz el bab,Industries agricoles et alimentaires,LAZHAR SGHIR,(216-)  22 442 899/ 79 408 319,,13,NON TOTALEMENT EXPORTATRICE
HACHEM CONFECTION,Tunis,Le bardo,Industries du cuir et de la chaussure,HACHEM AYADI,(216-)  21 422 660,,20,NON TOTALEMENT EXPORTATRICE
STE HADIL SHOES,Nabeul,Nabeul,Industries du cuir et de la chaussure,IMED M'BARKI,(216-)  22 612 566,hadil.shoes@gmail.com,20,TOTALEMENT EXPORTATRICE
VILAVI (EX ALNASEEM TUNISIE),Ben arous,Fouchana,Industries agricoles et alimentaires,SAMI ZAYANE,(216-)  71 862 009/ 79 408 952,,93,NON TOTALEMENT EXPORTATRICE
WISSEM PLAST,Monastir,Moknine,Industrie du caoutchouc et des plastiques,WISSEM CHEBIL,(216-)  29 501 002,hnichkhaled@yahoo.fr,25,NON TOTALEMENT EXPORTATRICE
STE HUILERIE MODERNE KHEMIR,Nabeul,Korba,Industries agricoles et alimentaires,MOOTEZ KHEMIR,(216-)  24 339 561/ 24 339 563,mootez-khemir@hotmail.com,10,NON TOTALEMENT EXPORTATRICE
STE GLE DE SERVICES INDUSTRIELS,Gabes,El hamma,Métallurgie et travail des métaux,ILYES BEN NJIMA,(216-)  53 121 757,,11,NON TOTALEMENT EXPORTATRICE
STE TANNERIE DE GAFSA,Gafsa,Gafsa sud,Industries du cuir et de la chaussure,NOOMAN SOUA,(216-)  20 060 517/ 76 226 486,,23,NON TOTALEMENT EXPORTATRICE
PASTRY DECORS,Bizerte,Ghezala,Industries agricoles et alimentaires,FOUZIA KHANOUSSI,(216-)  25 525 925,mehdi@flower-and-flower.com,25,TOTALEMENT EXPORTATRICE
STE ALFET EL MACHIA,Ben arous,Ben arous,Industries agricoles et alimentaires,SOUHAIL HACHICHA,(216-)  29 933 972,omar.hachicha@machia.com.tn,50,NON TOTALEMENT EXPORTATRICE
STE INDUSTRIELLE DE CHAUFFAGE SARL,Ben arous,Ben arous,Fabrication d'equipements électriques et électroniques,KARIM KILANI,(216-)  31 326 000,mouna.bacha@stc-tn.tn,21,NON TOTALEMENT EXPORTATRICE
SCOOP TEXTILE,Monastir,Ksibet el mediouni,Industries textiles et habillement,EDUARDO ROCHA,(216-)  73 550 287,afef@scoop-tunisie.com,104,TOTALEMENT EXPORTATRICE
JBC SARL,Monastir,Ksibet el mediouni,Industries textiles et habillement,RIM JRABA,(216-)  29 377 672/ 31 525 251,jbc.confection@gmail.com,86,TOTALEMENT EXPORTATRICE
SIAS INDUSTRY,Monastir,Sahline,Industrie du caoutchouc et des plastiques,HAMDI LAARIBI,(216-)  31 720 130/ 58 082 010,siasindustry@orange.tn,15,NON TOTALEMENT EXPORTATRICE
GOLF BETON,Gabes,Gabes ville,Fabrication d'autres produits non métalliques,FETHI MRABET,(216-)  75 267 016,,22,NON TOTALEMENT EXPORTATRICE
"ENTREPRISE CHIKHA FRERES ""AROMES D'AFRIQUE""",Mahdia,El jem,Industries agricoles et alimentaires,IBRAHIM CHIKHA,(216-)  73 637 210,alemtiez.nuts@gmail.com,17,TOTALEMENT EXPORTATRICE
INTERNATIONAL WASHING TEXTILE SARL,Nabeul,Soliman,Industries textiles et habillement,DANIELE DIAN,(216-)  72 390 885,texdian@gnet.tn,280,TOTALEMENT EXPORTATRICE
STE NEWFATEX,Nabeul,Korba,Industries textiles et habillement,FAOUZI CHOUCHENE,(216-)  72 389 282,newfatex@topnet.tn,27,TOTALEMENT EXPORTATRICE
MINERVA CONFECTION,Nabeul,Kelibia,Industries textiles et habillement,ANGELO LACAGNINA,(216-)  72 276 784,minerva.confection@gmail.com,145,TOTALEMENT EXPORTATRICE
GM TEXTILE GROUP,Zaghouan,El fahs,Industries textiles et habillement,MARCO PHANTONI,(216-)  25 064 534,,53,TOTALEMENT EXPORTATRICE
SKY INDUSTRIES,Zaghouan,Zriba,Fabrication d'equipements électriques et électroniques,NASR ALI CHAKROUN,,,40,NON TOTALEMENT EXPORTATRICE
PRINTEC,Zaghouan,El fahs,"Industrie du papier et du carton, édition et imprimerie",MAKKI MAHER ZOUARI,(216-)  72 662 015/ 94 269 666,mmzouari@imp.com.tn,35,NON TOTALEMENT EXPORTATRICE
INNOVATION PACKAGING TECHNOLOGIES,Zaghouan,Zriba,Industrie du caoutchouc et des plastiques,RAHLI ROMDHANE,,imed.ayadi@impackt.com,50,NON TOTALEMENT EXPORTATRICE
STE FREE SHOES,Zaghouan,Zaghouan,Industries du cuir et de la chaussure,NOURDINE GRAFI,(216-)  28 348 193,freeshoes2017@gmail.com,170,TOTALEMENT EXPORTATRICE
STE AIGLE,Monastir,Ksar hellal,Industries textiles et habillement,WISSEM GAM,(216-)  71 425 424/ 22 567 813,gamwissem@gmail.com,30,TOTALEMENT EXPORTATRICE
RAYM TEX,Monastir,Moknine,Industries textiles et habillement,MANAA CHIKH,(216-)  73 400 449,manaa.cheikh22@gmail.com,126,TOTALEMENT EXPORTATRICE
ATLAS PACKAGING SA,Sousse,Akouda,"Industrie du papier et du carton, édition et imprimerie",MOHAMED ALI HASSEN,,,65,NON TOTALEMENT EXPORTATRICE
STE MIRIBEL LINGERIE,Sousse,Akouda,Industries textiles et habillement,FATHI NAJLAOUI,(216-)  99 660 813,fethi.najlaoui17@gmail.com,28,TOTALEMENT EXPORTATRICE
AM ATELIER MEDITERRANEENNE,Mahdia,Essouassi,Industries textiles et habillement,DANIELE MAMBELLI,(216-)  73 611 108,ateliermed@ateliermed.tn,60,TOTALEMENT EXPORTATRICE
FOOD SOLUTIONS SA,Sousse,Enfidha,Industries agricoles et alimentaires,SANAA MONTASSAR,(216-)  28 666 207/ 28 666 208,m.sanaa@medpastry.com,37,NON TOTALEMENT EXPORTATRICE
STE AROMATES DU NORD,Jendouba,Tabarka,Industries agricoles et alimentaires,NEJIB OUERTANI,(216-)  96 823 992,nejibouertani@gmail.com,88,TOTALEMENT EXPORTATRICE
ENTREPOT FTATA,Tozeur,Tozeur,Industries agricoles et alimentaires,MOKTHAR FTATA,(216-)  25 886 359/,,36,NON TOTALEMENT EXPORTATRICE
ENTREPOT HAFNAOUI,Tozeur,Tozeur,Industries agricoles et alimentaires,HAFNAOUI JHIMI,,,45,NON TOTALEMENT EXPORTATRICE
SAGI PACK SARL,Ben arous,Ben arous,"Industrie du papier et du carton, édition et imprimerie",SAMIR HADDAJI,(216-)  79 391 919,contact.sagipack@gmail.com,22,TOTALEMENT EXPORTATRICE
STE NOVASTORE PRINT,Ariana,Raoued,Autres industries manufacturières,MONGI BEN MESSAOUED,(216-)  70 721 217/ 70 721 218,contact@novastoreprint.tn.,20,NON TOTALEMENT EXPORTATRICE
BETON ALAYA MANUFACTURE DU SUD,Gabes,Gabes ville,Fabrication d'autres produits non métalliques,ALAYA FITOURI,(216-)  29 809 309,,15,NON TOTALEMENT EXPORTATRICE
BETONIA,Nabeul,Hammamet,Fabrication d'autres produits non métalliques,GHASSEN EL MEHDI,(216-)  36 186 000/ 29 186 015,s.zghid@betonia.tn,18,NON TOTALEMENT EXPORTATRICE
ACOSERV BETON,Sfax,Sfax sud,Fabrication d'autres produits non métalliques,ABDELWAHEB ELLEUCH,(216-)  74 435 222,,10,NON TOTALEMENT EXPORTATRICE
MARMO ART,Sfax,Agareb,Autres industries extractives,HATEM BEN MED CHAABOUNI,(216-)  29 958 249/ 24 958 606,,23,NON TOTALEMENT EXPORTATRICE
HUILERIE B. AHMED,Monastir,Moknine,Industries agricoles et alimentaires,FETHI BEN AHMED,(216-)  96 406 480,fethiagrico@gmail.com,10,NON TOTALEMENT EXPORTATRICE
STE CONFISERIE LE BUSTAN,Sfax,Sfax sud,Industries agricoles et alimentaires,NOZHA HALOUANI,(216-)  74 862 220,,27,NON TOTALEMENT EXPORTATRICE
STE PETITE INDUSTRIE DE PRODUCTION COSMETIQUE ET SOUTRAITANCE,Sfax,Sfax sud,Industrie chimique,HANENE BOUJELBENE,(216-)  28 281 200/ 93 125 219,pipcos@gmail.com,30,NON TOTALEMENT EXPORTATRICE
ATELIER DONAT & CO,Nabeul,Beni khiar,Industrie chimique,LAURENCE VANDENBROUKE,(216-)  72 222 985,sjcfcoffaffistance@yahoo.fr,10,TOTALEMENT EXPORTATRICE
